#         t          x          y          z         vx         vy         vz
      0.000    -98.560   -119.990   -127.760    -28.430    173.920     93.230
      0.100   -101.085   -101.778   -117.753    -20.950    182.229    102.463
      0.200   -102.743    -82.703   -106.738    -11.474    190.805    112.944
      0.300   -103.295    -62.750    -94.576      0.689    199.392    124.888
      0.400   -102.416    -41.946    -81.110     16.499    207.438    138.470
      0.500    -99.669    -20.405    -66.170     37.213    213.829    153.681
      0.600    -94.482      1.598    -49.621     64.219    216.445    169.954
      0.700    -86.179     23.493    -31.448     98.166    211.731    185.431
      0.800    -74.165     44.312    -11.932    136.778    195.403    196.219
      0.900    -58.333     62.806      8.206    172.825    166.260    197.596
      1.000    -39.386     77.977     27.925    197.702    130.420    188.030
      1.100    -18.559     89.558     46.362    209.585     96.064    172.523
      1.200      2.998     97.913     63.138    211.971     67.323    155.548
      1.300     24.517    103.636     78.225    208.869     44.603    139.484
      1.400     45.578    107.293     91.756    202.986     26.900    125.129
      1.500     65.973    109.336    103.910    195.853     13.049    112.553
      1.600     85.616    110.110    114.860    188.281      2.087    101.576
      1.700    104.483    109.874    124.756    180.684     -6.704     91.964
      1.800    122.583    108.823    133.728    173.268    -13.846     83.492
      1.900    139.938    107.106    141.883    166.128    -19.720     75.971
      2.000    156.579    104.840    149.308    159.300    -24.600     69.246
      2.100    172.538    102.115    156.081    152.790    -28.694     63.188
      2.200    187.847     99.003    162.262    146.589    -32.154     57.697
      2.300    202.536     95.564    167.907    140.681    -35.099     52.687
      2.400    216.636     91.846    173.060    135.045    -37.619     48.092
      2.500    230.172     87.888    177.762    129.662    -39.784     43.856
      2.600    243.169     83.723    182.046    124.511    -41.652     39.931
      2.700    255.650     79.381    185.943    119.572    -43.267     36.280
      2.800    267.637     74.885    189.480    114.830    -44.665     32.871
      2.900    279.147     70.255    192.678    110.266    -45.876     29.675
      3.000    290.199     65.509    195.559    105.868    -46.925     26.670
      3.100    300.809     60.664    198.142    101.620    -47.832     23.835
      3.200    310.992     55.732    200.442     97.512    -48.613     21.153
      3.300    320.761     50.726    202.475     93.531    -49.284     18.609
      3.400    330.129     45.656    204.255     89.669    -49.856     16.191
      3.500    339.108     40.533    205.793     85.915    -50.339     13.887
      3.600    347.707     35.364    207.101     82.261    -50.743     11.686
      3.700    355.938     30.157    208.188     78.700    -51.075      9.581
      3.800    363.809     24.920    209.065     75.225    -51.341      7.563
      3.900    371.329     19.659    209.739     71.829    -51.547      5.625
      4.000    378.505     14.380    210.219     68.506    -51.698      3.761
      4.100    385.345      9.087    210.512     65.252    -51.798      1.965
      4.200    391.855      3.787    210.624     62.060    -51.850      0.232
      4.300    398.042     -1.516    210.562     58.927    -51.859     -1.441
      4.400    403.911     -6.818    210.332     55.847    -51.827     -3.060
      4.500    409.467    -12.115    209.939     52.818    -51.757     -4.628
