#         t          x          y          z         vx         vy         vz
      0.000    -98.600   -119.990   -127.780    -28.430    173.920     93.230
      0.001    -98.628   -119.816   -127.687    -28.360    173.993     93.314
      0.002    -98.657   -119.642   -127.593    -28.289    174.066     93.397
      0.003    -98.685   -119.468   -127.500    -28.218    174.139     93.481
      0.004    -98.713   -119.294   -127.406    -28.147    174.212     93.565
      0.005    -98.741   -119.119   -127.313    -28.076    174.285     93.649
      0.006    -98.769   -118.945   -127.219    -28.005    174.358     93.733
      0.007    -98.797   -118.771   -127.125    -27.934    174.431     93.818
      0.008    -98.825   -118.596   -127.031    -27.862    174.505     93.902
      0.009    -98.853   -118.422   -126.938    -27.790    174.578     93.987
      0.010    -98.881   -118.247   -126.844    -27.719    174.651     94.071
      0.011    -98.908   -118.072   -126.749    -27.647    174.724     94.156
      0.012    -98.936   -117.898   -126.655    -27.575    174.798     94.240
      0.013    -98.964   -117.723   -126.561    -27.502    174.871     94.325
      0.014    -98.991   -117.548   -126.467    -27.430    174.944     94.410
      0.015    -99.018   -117.373   -126.372    -27.357    175.017     94.495
      0.016    -99.046   -117.198   -126.278    -27.285    175.091     94.580
      0.017    -99.073   -117.023   -126.183    -27.212    175.164     94.666
      0.018    -99.100   -116.848   -126.088    -27.139    175.238     94.751
      0.019    -99.127   -116.672   -125.993    -27.065    175.311     94.836
      0.020    -99.154   -116.497   -125.899    -26.992    175.385     94.922
      0.021    -99.181   -116.322   -125.804    -26.919    175.458     95.008
      0.022    -99.208   -116.146   -125.709    -26.845    175.532     95.093
      0.023    -99.235   -115.970   -125.613    -26.771    175.605     95.179
      0.024    -99.262   -115.795   -125.518    -26.697    175.679     95.265
      0.025    -99.288   -115.619   -125.423    -26.623    175.752     95.351
      0.026    -99.315   -115.443   -125.327    -26.549    175.826     95.437
      0.027    -99.341   -115.267   -125.232    -26.474    175.900     95.524
      0.028    -99.368   -115.092   -125.136    -26.400    175.973     95.610
      0.029    -99.394   -114.916   -125.041    -26.325    176.047     95.696
      0.030    -99.421   -114.739   -124.945    -26.250    176.121     95.783
      0.031    -99.447   -114.563   -124.849    -26.175    176.195     95.870
      0.032    -99.473   -114.387   -124.753    -26.100    176.268     95.956
      0.033    -99.499   -114.211   -124.657    -26.024    176.342     96.043
      0.034    -99.525   -114.034   -124.561    -25.949    176.416     96.130
      0.035    -99.551   -113.858   -124.465    -25.873    176.490     96.217
      0.036    -99.577   -113.681   -124.369    -25.797    176.564     96.304
      0.037    -99.602   -113.505   -124.272    -25.721    176.638     96.392
      0.038    -99.628   -113.328   -124.176    -25.645    176.711     96.479
      0.039    -99.654   -113.151   -124.079    -25.568    176.785     96.566
      0.040    -99.679   -112.975   -123.983    -25.492    176.859     96.654
      0.041    -99.705   -112.798   -123.886    -25.415    176.933     96.742
      0.042    -99.730   -112.621   -123.789    -25.338    177.007     96.830
      0.043    -99.755   -112.444   -123.692    -25.261    177.081     96.917
      0.044    -99.781   -112.267   -123.596    -25.184    177.155     97.005
      0.045    -99.806   -112.089   -123.498    -25.107    177.230     97.093
      0.046    -99.831   -111.912   -123.401    -25.029    177.304     97.182
      0.047    -99.856   -111.735   -123.304    -24.951    177.378     97.270
      0.048    -99.881   -111.557   -123.207    -24.874    177.452     97.358
      0.049    -99.906   -111.380   -123.109    -24.795    177.526     97.447
      0.050    -99.930   -111.202   -123.012    -24.717    177.600     97.536
      0.051    -99.955   -111.025   -122.914    -24.639    177.675     97.624
      0.052    -99.980   -110.847   -122.817    -24.560    177.749     97.713
      0.053   -100.004   -110.669   -122.719    -24.482    177.823     97.802
      0.054   -100.029   -110.491   -122.621    -24.403    177.897     97.891
      0.055   -100.053   -110.313   -122.523    -24.324    177.972     97.980
      0.056   -100.077   -110.135   -122.425    -24.244    178.046     98.069
      0.057   -100.101   -109.957   -122.327    -24.165    178.120     98.159
      0.058   -100.126   -109.779   -122.229    -24.086    178.195     98.248
      0.059   -100.150   -109.601   -122.130    -24.006    178.269     98.338
      0.060   -100.174   -109.423   -122.032    -23.926    178.343     98.428
      0.061   -100.197   -109.244   -121.934    -23.846    178.418     98.517
      0.062   -100.221   -109.066   -121.835    -23.765    178.492     98.607
      0.063   -100.245   -108.887   -121.736    -23.685    178.567     98.697
      0.064   -100.269   -108.709   -121.638    -23.604    178.641     98.787
      0.065   -100.292   -108.530   -121.539    -23.524    178.716     98.878
      0.066   -100.316   -108.351   -121.440    -23.443    178.790     98.968
      0.067   -100.339   -108.172   -121.341    -23.362    178.865     99.058
      0.068   -100.362   -107.993   -121.242    -23.280    178.939     99.149
      0.069   -100.386   -107.814   -121.143    -23.199    179.014     99.239
      0.070   -100.409   -107.635   -121.043    -23.117    179.089     99.330
      0.071   -100.432   -107.456   -120.944    -23.035    179.163     99.421
      0.072   -100.455   -107.277   -120.844    -22.953    179.238     99.512
      0.073   -100.478   -107.098   -120.745    -22.871    179.313     99.603
      0.074   -100.501   -106.918   -120.645    -22.789    179.387     99.694
      0.075   -100.523   -106.739   -120.546    -22.706    179.462     99.786
      0.076   -100.546   -106.559   -120.446    -22.623    179.537     99.877
      0.077   -100.569   -106.380   -120.346    -22.540    179.612     99.969
      0.078   -100.591   -106.200   -120.246    -22.457    179.686    100.060
      0.079   -100.614   -106.021   -120.146    -22.374    179.761    100.152
      0.080   -100.636   -105.841   -120.045    -22.290    179.836    100.244
      0.081   -100.658   -105.661   -119.945    -22.207    179.911    100.336
      0.082   -100.680   -105.481   -119.845    -22.123    179.986    100.428
      0.083   -100.702   -105.301   -119.744    -22.039    180.060    100.520
      0.084   -100.724   -105.121   -119.644    -21.955    180.135    100.612
      0.085   -100.746   -104.941   -119.543    -21.870    180.210    100.705
      0.086   -100.768   -104.760   -119.442    -21.786    180.285    100.797
      0.087   -100.790   -104.580   -119.342    -21.701    180.360    100.890
      0.088   -100.811   -104.400   -119.241    -21.616    180.435    100.983
      0.089   -100.833   -104.219   -119.140    -21.531    180.510    101.075
      0.090   -100.855   -104.039   -119.038    -21.445    180.585    101.168
      0.091   -100.876   -103.858   -118.937    -21.360    180.660    101.262
      0.092   -100.897   -103.677   -118.836    -21.274    180.735    101.355
      0.093   -100.918   -103.497   -118.734    -21.188    180.810    101.448
      0.094   -100.940   -103.316   -118.633    -21.102    180.885    101.541
      0.095   -100.961   -103.135   -118.531    -21.016    180.960    101.635
      0.096   -100.982   -102.954   -118.430    -20.930    181.035    101.729
      0.097   -101.003   -102.773   -118.328    -20.843    181.110    101.822
      0.098   -101.023   -102.592   -118.226    -20.756    181.185    101.916
      0.099   -101.044   -102.410   -118.124    -20.669    181.260    102.010
      0.100   -101.065   -102.229   -118.022    -20.582    181.336    102.104
      0.101   -101.085   -102.048   -117.920    -20.494    181.411    102.199
      0.102   -101.106   -101.866   -117.818    -20.407    181.486    102.293
      0.103   -101.126   -101.685   -117.715    -20.319    181.561    102.387
      0.104   -101.146   -101.503   -117.613    -20.231    181.636    102.482
      0.105   -101.166   -101.321   -117.510    -20.143    181.712    102.577
